log2foldchange,FC,pvalue,padjust,gene_name
1.32483984026028,2.50505076542424,0.000149040747155,0.003573646171342,Fam187b
1.307181658897,2.47457652740782,0.001586848784935,0.025203168905052,AI464131
1.29974380979697,2.46185161837439,1.40E-14,2.81E-12,Cx3cl1
1.28465734839772,2.43624183172512,2.47E-08,1.74E-06,Gpr35
1.27888055463083,2.42650621391574,9.86E-09,7.49E-07,Ednrb
1.26934827552806,2.41052647579348,6.71E-10,6.24E-08,Hspa1a
1.22515926916995,2.33781257031543,0.003616159395146,0.047806399760477,Cbr2
1.22239256660445,2.33333356828159,0.002770872249488,0.038404913414236,Mcemp1
1.21266102033328,2.31764727893346,0.000212084903572,0.004799203957203,Snhg14
1.20295989160987,2.30211498062692,8.01E-08,5.22E-06,Tnfsf10
1.20163402966003,2.30000026861387,0.002274115943401,0.032814575258636,6030400A10Rik
1.18939808521526,2.28057574159032,1.95E-05,0.000660727973127,Ablim2
1.1816069773311,2.26829295153367,0.001618668972588,0.025532122647035,BC147527
1.1771931424903,2.26136385672306,0.000292093627306,0.006284099998763,Angptl3
1.1699251552134,2.2500002398185,0.000554488118235,0.010722547276776,8030453O22Rik
1.16250765421505,2.238461731378,2.39E-05,0.000775649112905,Cacnb3
1.15854606469421,2.23232342633099,1.56E-06,7.24E-05,Rfx2
1.15024280023388,2.21951244843256,0.001461256119068,0.02374762595927,Cage1
1.14795804909631,2.21600025760373,0.000497282210989,0.009823810710162,Cebpe
1.12312452255684,2.17818202680619,1.09E-05,0.000395106601934,Acpp
1.12221304108339,2.17680630604125,3.38E-06,0.000145970000371,Gab1
1.11220962769047,2.16176489184308,9.32E-06,0.000349567923374,Vamp5
1.10097773924762,2.14500013607617,2.06E-09,1.76E-07,Eva1b
1.09716876008916,2.13934441218785,8.43E-07,4.29E-05,A930007I19Rik
1.08926745771979,2.12765975088541,1.82E-06,8.29E-05,Sorbs3
1.08488899481145,2.12121226416314,1.39E-07,8.44E-06,Nr4a2
1.06599771694229,2.09361725080767,0.000124985596332,0.003090444361681,Wdr78
1.0618245656534,2.08756998709288,1.48E-08,1.08E-06,Hgf
1.06055373834373,2.08573191822193,2.08E-14,4.13E-12,Tgm2
1.05889387021321,2.08333359493813,0.002176537362398,0.031693396238701,Mlph
1.05810310747551,2.08219200151444,0.000333833612913,0.006963383318015,Slc6a19
